[00:00:00,000] 这房子是租的还买的
[00:00:01,399] 租的租的是吧
[00:00:02,600] 千万富国的
[00:00:03,839] 30岁了没
[00:00:04,599] 32
[00:00:05,599] 94年
[00:00:06,599] 人生逆袭了呀
[00:00:08,199] 差不多
[00:00:09,800] 有点这个意思
[00:00:11,000] 这个事情现在还在做吗
[00:00:12,400] 再说再说
[00:00:13,599] 看一下你的资产线
[00:00:15,000] 这是一个大的账户
[00:00:16,800] 还有
[00:00:17,800] 个十百千万十万
[00:00:19,600] 我两千多万了
[00:00:20,800] 对的
[00:00:21,199] 但是大概有就是说
[00:00:22,800] 净资产是这么多
[00:00:23,800] 你现在钱还是全部在这里面跑是吧
[00:00:26,199] 对
[00:00:26,600] 那他有没有可能就是一兆归零的
[00:00:28,600] 不太可能
[00:00:29,800] 这个可以后面可以慢慢讲
[00:00:31,800] 那你的那个K线徒员
[00:00:33,200] 就是你从什么时候开始的那种有吗
[00:00:34,600] 这个是大账户
[00:00:36,000] 两年时间
[00:00:37,000] 对
[00:00:37,799] 百分之将近六百的收益
[00:00:39,600] 对的
[00:00:40,399] 反正你现在的资产就是将近两千万
[00:00:43,000] 对
[00:00:43,799] 差差不多
[00:00:45,000] 然后现在是处于一个什么阶段
[00:00:47,600] 包括你现在在干嘛
[00:00:49,399] 我现在就啥都没干
[00:00:51,399] 就很无聊
[00:00:53,000] 每天都很无聊
[00:00:54,200] 对
[00:00:54,799] 然后你已经结婚了是吧
[00:00:56,200] 对
[00:00:56,600] 结婚了
[00:00:57,200] 去年吧
[00:00:58,200] 做了婚前财产工赠了没
[00:01:01,600] 我们都在一块好多年了
[00:01:03,600] 就是完全信任对方是吧
[00:01:05,000] 对
[00:01:05,200] 那肯定
[00:01:06,400] 那简单介绍一下你自己
[00:01:07,799] 我是山东严谈
[00:01:10,000] 大学是南开物理
[00:01:11,799] 然后面就读不下去了
[00:01:13,000] 读得很郁闷
[00:01:14,200] 就是那个东西不好学
[00:01:15,599] 对
[00:01:16,000] 然后我觉得也跟我这个人有关系
[00:01:17,599] 我这人就是
